"nvp_id","nvp_respondant_id","nvp_name","nvp_value","nvp_name_id"
207745,3612,"How would your background make you a success in the job you are applying for.","I have an extensive background in selling %HESITATION starting with being a merchandiser in New York City in the garment center %HESITATION in the eighties which involves %HESITATION some sales and then %HESITATION from there I moved on into a real estate career where I sold and rented apartments in New York City %HESITATION I moved on to actually work as an independent broker and have my own company where I was responsible for cold calling and listing properties I was able to maintain exclusives on thirteen building in the Chelsea area odds Hatton %HESITATION which was close to about a hundred and seventy five apartments that I actually rented and I I was not paid by the landlord I actually collect it the real estate commission from the customer that was coming to see the apartments I also have a background in %HESITATION %HESITATION telemarketing I was a sales trainer and a telemarketing company in Florida right taught people to sell on the phone and I ox I actually sold on the phone as well and I was the top producer I was going to be promoted to doing business development but the job involved in lot of travel and at the time my daughter was in the eighth grade and so I really did not want to take a job where I was going to be eighty percent of the time in the air %HESITATION and I want it to go back into real estate so I have an extensive selling background and I think it would be an asset to your company ",149
207746,3612,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I'm looking for an opportunity to work from my home office in a sales position where I can make a decent living %HESITATION meaning a decent hourly rate plus commission on a sales campaign either setting appointments or doing direct selling I would prefer doing direct selling but I would be happy with appointments campaign I'm really looking to use my sales expertise and my abilities to I'll be a productive and to make as much money possible %HESITATION while being able to work from home ",150
207747,3605,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I think sales or is it a good company that can help you make a lot of money ",150
207748,3605,"How do you feel about the recorded phone interview process you have just completed.","yeah it makes me feel wanted you want to spend so much on any time with ",151
207749,3606,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","those roads is amazing ",150
207750,3606,"How would your background make you a success in the job you are applying for.","sting to ",149
207751,3606,"How do you feel about the recorded phone interview process you have just completed.","I love it ",151
207752,3613,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","looking to apply it show show it's because I need something that's flexible with my schedule I have also heard that it's a great organization %HESITATION and %HESITATION I really like the idea is that each employee would %HESITATION would be an actual twenty nine an independent contractor ",150
207753,3613,"How would your background make you a success in the job you are applying for.","I think that makes the orient and sales and %HESITATION calling him being on the phone can really help me I'm also a type of person that %HESITATION supposed to be more direct %HESITATION on the phone as opposed to face to face %HESITATION I'm very goal oriented line military background has helped me to be very detail oriented as well as I to push myself to %HESITATION to feed my own goals and to kind of compete with myself ",149
207754,3613,"How do you feel about the recorded phone interview process you have just completed.","well to be honest I prefer more the one on one situation to that I can also get to know the company is well and feel as though an interview is not only an interview for me and she job but for you as a company shall %HESITATION I truly prefer to do something that's a little bit more interactive with humans %HESITATION so we're as I appreciate the fact that %HESITATION decision easier way for you to to %HESITATION kind of streamlined or process ",151
207755,3609,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I think sells Rhodes looks like a really good company to work for and I do like the freedom from working from home ",150
207756,3609,"How would your background make you a success in the job you are applying for.","I have years of experience working with small to mid size companies I'm as comfortable talking to a CEO as I am a %HESITATION production floor guy %HESITATION do you have a good work ethic so %HESITATION I think that's important to us to have good work ethics and always focus on doing the best job you can for for your client ",149
207757,3609,"How do you feel about the recorded phone interview process you have just completed.","it's the first time I've ever had a recorded phone interview so %HESITATION sell a lot different than talking with someone face to face or live over the telephone so %HESITATION really sure how I feel about it kind of feel like I'm talking to myself ",151
207758,3612,"How do you feel about the recorded phone interview process you have just completed.","I feel that it was a good process %HESITATION you're able to speak freely and give your thoughts and your experience and all in all I think it was a %HESITATION the process worked well %HESITATION and %HESITATION I think that using it going forward would be very beneficial ",151
207826,6473,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I'm looking to work with sales Sharon's because I do have to be appointment setting experience I and working I'm not home environment for the past ten years and just looks like a good opportunity I challenge the interested in learning about more ",150
207759,3611,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I'm looking for a position %HESITATION where I can work from home home where I have %HESITATION flexibility %HESITATION with the %HESITATION hours %HESITATION their work %HESITATION but %HESITATION we're I still have the contact with %HESITATION colleagues and %HESITATION management and then %HESITATION position that's %HESITATION challenging and %HESITATION has an opportunity for growth and %HESITATION you know to make some good income ",150
207760,3611,"How would your background make you a success in the job you are applying for.","well I have %HESITATION an MBA from the Wharton school line think are pretty good education they have %HESITATION you know over twenty years of experience %HESITATION and %HESITATION number of different capacities site worked in banking %HESITATION for a long time Iran a consulting practice %HESITATION and %HESITATION worked in a number of different %HESITATION companies so I think I've got %HESITATION good to communications skills good analytical skills and good people skills and I think %HESITATION I could be a good fit for the position ",149
207761,3611,"How do you feel about the recorded phone interview process you have just completed.","I think it's a pretty cool process and I never had a recorded telephone interview before and %HESITATION it's an effective use of technology and %HESITATION I think it could be a great tool ",151
207762,3610,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","well I'd have to say that the reason I'm looking forward to working with sales road is that I have heard fantastic things from some of the employees appeals roads I read a bunch of reviews and you know it seems like those you know you you read those responses all the time some of them seem really stage but there were a lot of really detailed answers my I thought there was some some real genuine %HESITATION tear put in there and it sounds like what really interests me is that your your company %HESITATION works hard to make sure that you've got a variety of different types of people are so you've got a certain level of diversity but also a lot of different levels of of background different types of campaigns the people of works for all and it just sounds like there's a little bit of something for for everyone Scott who's got the sales talent so I think that I've got some great things that I can lend it to the company and %HESITATION and that there are certain types of campaigns particularly that I I think I'd be particularly well suited for so I look forward to the opportunity to speak with you and Cheryl little bit more about my own background and how I can help out with us some of things that the Eldridge is working on ",150
207763,3610,"How would your background make you a success in the job you are applying for.","that's an interesting question okay well are so my background is pretty diverse as you might imagine %HESITATION having been in music in theater prior to you know when I was just doing school and then really focusing starting my my real career %HESITATION as as a teacher I've always found that sales in my opinion is is very much like teaching the idea behind sales is that you want to share some information and get somebody really engaging excited about what it is that you have to offer will teaching is the same way you have a limited amount of time in which to get somebody's attention make that good in first impression and you know really connect with your audience it's important that before you go into a classroom you need to make sure that you understand how people relate to you %HESITATION and how they'll they were likely to relate to what it is you have to offer %HESITATION and so you have to you have to know a little bit about them and meet them halfway again the same can be true %HESITATION can be said of of selling %HESITATION you know any level of background information you've got on somebody obviously don't wanna go too far because you'll you'll keep yourself %HESITATION from making any calls if you go too deep but it when you've got a little bit of information or when you can gather a little bit of information right at the start of a call you can really engage people %HESITATION and and show them up white is your passionate about what you have to offer and make sure that they are to ",149
207764,3610,"How do you feel about the recorded phone interview process you have just completed.","I won't so this is another unique process I have to admit I was racking my brain when I saw all the email about this thing came what questions are they going to ask me the going to be about my best moments or is it going to be my worst issue how I overcame it biggest weakness things like that %HESITATION and so I I didn't really know what to expect now that I've done it I think I've %HESITATION I think of of I can appreciate %HESITATION what you're what you're looking to accomplish here and %HESITATION may I just say %HESITATION Mr Krieger that %HESITATION your your fantastic %HESITATION phone voice really made it sound for a moment as though you'd actually picked up I was I was impressed at how engaging your voiceless so there there's my bill get torie interview kissing up %HESITATION and I hope that my feedback was helpful to you ",151
207765,3608,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","hi all reasons I like to work at sales rose won't like them doing calling works for about fifteen years now and %HESITATION I was told via the yoke the position would be appointment setting and I've had experience doing that the past and the biggest thing of working with sales rose is just a factor for you know working from home is great and just a lot of positive things that I would know see working with sales strokes and I really look forward you know possibly giving it a go and actually working with you guys ",150
207766,3608,"How would your background make you a success in the job you are applying for.","oh well like I answered the first question I'd been doing calling work for years OB and doing it for about fifteen years now I'm I'm very personable and very charismatic and I really enjoyed talking on the phone with my friends tell me that I really love to talk were in social you know environment that social events I would just love PF backed up to win sales doing appointment setting and I have a my background is very complete in regards to doing all of these things ",149
207767,3608,"How do you feel about the recorded phone interview process you have just completed.","I liked it it was on it's a nice way to see how somebody you know restaurant and just you know despite a few for a little rambling regards to a few questions Tennessee how they perform on the phone how personable they saw how charismatic it just how are you know he signed it are you know that a post excitement walls going into it I thought was a pretty good idea I was lined up you part of our giving the test run it just doing a quick test interview for you guys and that it was great thank you ",151
207855,11258,"How would your background make you a success in the job you are applying for.","well again I've been doing business to business cold calling offer C. level executives owners for small medium mid size and large companies for over ten years with much success ",149
207768,3614,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","well sales wrote seems to have the right combination of work environment for me I love to sell let the idea is that I'm not limited in my income but I also like the idea that I could work at home it makes for a lot more issue working situation because I don't have to worry about commuting and I made it very very comfortable environment and I believe that that will help me a cheese and produce and be a lot more effective in what I do ",150
207769,3614,"How would your background make you a success in the job you are applying for.","well I am a self starter I worked on my own many times I was a stockbroker I was independent and I work from home so I'm able to %HESITATION regulate my work are able to produce by myself I'm I'm self motivated and I just love the ideas that I can %HESITATION produces much as I can as much as I want to from that environment I the very extensive background in selling about twenty five years and I'm very again I'm very disciplined I manage my own business so I I see that as the recipe for success ",149
207770,3614,"How do you feel about the recorded phone interview process you have just completed.","well we are approaching a very high tech society %HESITATION on the one hand I like the idea that it's very efficient and you're not painting on people having the same schedule on the other hand the negative is that it does make it a little bit impersonal and %HESITATION ICO that people are sometimes hide behind technology in other words say use it to work for white people avoid the awkwardness of having the human contact personally I like human contact which of course is why I like selling I like talking to people %HESITATION personally so it's a next ",151
207771,3615,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","guess I would say the reason I want to work for scales grow is because it sounds amazing %HESITATION I know the people are some people that you have there and the steam %HESITATION very happy for you guys %HESITATION they love the French absent pains that they get to work online and you know everybody just speaks %HESITATION %HESITATION about you guys in high regard in addition to that I love working from home I like the freedom that it gives you to be able to get things done in a timely manner %HESITATION and you're the one that totally responsible for everything they charge anyway ",150
207772,3615,"How would your background make you a success in the job you are applying for.","well I have eighty five extensive background and a number of different things but mostly and in a business to business sales pitch %HESITATION %HESITATION telemarketing calls %HESITATION customer retention and and then a few years of experience in program management which is you know monitoring by you know the call money daily beast is giving prospect are giving agency back %HESITATION she really doing training and strategy sections to make things are better for the team and for the individual ",149
207773,3615,"How do you feel about the recorded phone interview process you have just completed.","I think that this is amazing I think these are two very important question I'm in any manner process and I think it needs to be doing something different so %HESITATION sounds exciting ",151
207774,3626,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I would say the %HESITATION the the biggest reason is the diverse %HESITATION you know appointment setting field is being able to talk to the decision makers of each campaign and talking to them to get to know a little more about what they do what they do on a daily basis what they like to see improved within their facility %HESITATION talk about how we can %HESITATION you know implement %HESITATION our own our own teaching in our own our own philosophy into the business world that they live in and I still see it would be a make a difference in the future see if we'd be a good resource for them but %HESITATION %HESITATION definitely %HESITATION getting to know them asking open ended questions about their company's %HESITATION you know talking about %HESITATION you know what what they what they do on a daily basis and to really getting to know their niche and %HESITATION you know it you know given them the the the sense of being that you're the you're there to be a resource for me to there to be a partner with their business and to to help them grow %HESITATION that's what I'm looking forward to the most ",150
207775,3626,"How would your background make you a success in the job you are applying for.","I have a a vast majority of us still backgrounds %HESITATION you know from from doing that inside sales %HESITATION part of %HESITATION twelve years now %HESITATION I I do you know talk to you know talk to different to you know different decision makers on a daily basis of each job and %HESITATION just knowing how knowing the right questions to ask no one the the right tone of voice knowing the %HESITATION exactly %HESITATION given the sense of being that I I am there to to be a partnership in growing their business %HESITATION just to just having %HESITATION you know having to the background of of of each different sales tactic %HESITATION throughout my my my history I no one no one that I can %HESITATION able to %HESITATION you know gain their trust and their decision making on %HESITATION making the right to choices within their job site ",149
207776,3626,"How do you feel about the recorded phone interview process you have just completed.","I I'd like good I like the option %HESITATION I like %HESITATION you know it's it's a little different not being able to talk to somebody on the phone but %HESITATION Hey it really makes you makes you think about the you know what kind of learn learn more about what what you've been through from your past experiences and %HESITATION %HESITATION being able to express some of the phone %HESITATION you know kind of sure what the what your history's been all about and and to you know just to show that %HESITATION your passion about what you do ",151
207777,3628,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","I'm looking forward to working with sales rose because I've heard that it has got phenomenal people there and the company is growing by leaps and bounds and I would love to be a part of that ",150
207778,3628,"How would your background make you a success in the job you are applying for.","well %HESITATION my background consists of fifteen plus years of marketing %HESITATION phone sales door to door sales and customer service so as you definitely got the skills to back me up ",149
207779,3628,"How do you feel about the recorded phone interview process you have just completed.","I think the phone recording process is very classy and gets to the point I like it ",151
207780,3627,"What are the reasons you are looking to work for Sales Roads. After the beep take a few moments just to collect your thoughts, and then please give us your answer.","well based on the limited amount of information I have about the company %HESITATION it seems like a great place to work I like that you won the accolades for %HESITATION %HESITATION the fastest growing companies I noticed on your website that you're named among the best places to work so you know those are certainly appealing %HESITATION I like the fact that I can work from home and %HESITATION I've got a nine year old son here almost single dad and I %HESITATION I enjoy a all you know I think that'll be great and %HESITATION I you know I think that's about covers it thank ",150
207781,3633,"How would your background make you a success in the job you are applying for.","I have had extensive work experience saying appointment setting and a a virtual assistant as well giving me of our aid skills and a the ability to work with them many different types of people I believe I could fit easily into your team and %HESITATION I'm at it dedicated person onto who works hard and pays attention to the details I'm flexible and quick to learn new skills and eager to learn from authors I also have a lots of ideas and enthusiasm that I believe would help me to be sick successful %HESITATION and to this job because ",149
207782,3627,"How would your background make you a success in the job you are applying for.","well I have a lifetime of successful sales %HESITATION behind me so you know what the lifetime a successful sales jobs it's only reasonable to believe that the the past lifetime Trimble continue to the future so I think I'll do a great job your company %HESITATION any sales organization needs good sales people not only that I am always been the kind of guy to help my fellow sales guys basics be successful I can write scripts I can correct other screw up so I can help people that are having problems I know how to get people fired up and it doozy aspic and %HESITATION in my experience enthusiasm shells are more than product knowledge any day of the week so you know when you couple the two together in twos yes I'm and product knowledge which takes a little bit longer you can all use fake enthusiasm but you know as I learned more about the product %HESITATION I'll have my enthusiasm to Kerry me through and I'm sure I'll be one of your top ",149
207783,3633,"How do you feel about the recorded phone interview process you have just completed.","it's great and death at the same time it gives me a last %HESITATION ",151
